hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22
2024-05-13 11:27:00,205.0,0,0,1.0,0,211.0,,,,,-2.0,2024-05-13
2024-05-13 11:27:00,312.0,0,0,2.0,1,326.0,,,,,-2.0,2024-05-13
2024-10-05 19:37:00,222.0,3,0,1.0,0,221.0,,,,,-2.0,2024-10-05
2024-10-05 19:37:00,229.0,4,0,1.0,1,214.0,,,,,-2.0,2024-10-05
2024-10-05 19:37:00,240.0,4,0,1.0,0,233.0,,,,,-2.0,2024-10-05
2024-06-05 10:58:00,146.0,1,0,,0,164.0,,,,,-2.0,2024-06-05
2024-06-05 10:58:00,167.0,2,0,,0,185.0,,,,,-2.0,2024-06-05
2024-04-05 15:13:00,994.0,3,0,15.0,1,1120.0,,,,,-2.0,2024-04-05
2024-04-05 15:13:00,1068.0,2,0,9.0,1,1082.0,,,,,-2.0,2024-04-05
2024-04-05 15:13:00,1116.0,3,0,6.0,0,1146.0,,,,,-2.0,2024-04-05
2024-04-05 15:13:00,1205.0,4,0,4.0,0,1248.0,,,,,-2.0,2024-04-05
2024-04-05 15:13:00,1516.0,2,0,7.0,0,1553.0,,,,,-2.0,2024-04-05
2024-03-05 16:05:00,172.0,0,0,3.0,0,210.0,,,,,-2.0,2024-03-05
2024-03-05 16:04:00,302.0,0,0,2.0,0,330.0,,,,,-2.0,2024-03-05
2024-01-05 16:48:00,391.0,5,0,5.0,0,452.0,,,,,-2.0,2024-01-05
2024-04-25 17:34:00,385.0,2,0,3.0,0,395.0,,,4.0,,-2.0,2024-04-25
2024-04-25 14:21:00,143.0,3,0,2.0,0,147.0,,,,,-2.0,2024-04-25
2024-04-25 14:21:00,153.0,3,0,,0,148.0,,,,,-2.0,2024-04-25
2024-04-25 14:21:00,160.0,2,0,,0,152.0,,,,,-2.0,2024-04-25
2024-04-25 14:21:00,180.0,2,0,,0,170.0,,,,,-2.0,2024-04-25
2024-04-25 11:37:00,196.0,7,0,1.0,0,193.0,,,,,-2.0,2024-04-25
2024-04-25 08:42:00,251.0,0,0,3.0,0,258.0,,,,,-2.0,2024-04-25
2024-04-24 14:50:00,321.0,3,0,,0,327.0,,,,,-2.0,2024-04-24
2024-04-24 14:48:00,439.0,2,0,4.0,0,434.0,,,4.0,,-2.0,2024-04-24
2024-04-19 12:54:00,702.0,1,0,1.0,0,696.0,,,,,-2.0,2024-04-19
2024-04-19 07:49:00,1921.0,5,0,23.0,0,1935.0,,,,,-2.0,2024-04-19
2024-10-04 20:00:00,179.0,0,0,2.0,0,179.0,,,2.0,,-2.0,2024-10-04
2024-05-04 16:29:00,245.0,0,0,1.0,0,243.0,,,,,-2.0,2024-05-04
2024-05-04 16:28:00,405.0,0,0,2.0,0,387.0,,,,,-2.0,2024-05-04
2024-04-04 16:37:00,699.0,3,0,5.0,0,752.0,,,,,-2.0,2024-04-04
2024-01-04 17:26:00,777.0,7,0,8.0,1,797.0,,,,,-2.0,2024-01-04
2024-01-04 10:44:00,216.0,0,0,1.0,0,207.0,,,,,-2.0,2024-01-04
2024-01-04 10:44:00,248.0,1,0,1.0,0,234.0,,,,,-2.0,2024-01-04
2024-05-22 11:11:00,223.0,1,0,5.0,0,231.0,,,,,-2.0,2024-05-22
2023-06-01 19:11:00,,3,0,,0,,,,,,-2.0,2023-06-01
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31
2023-03-27 08:28:00,1700.0,3,0,19.0,0,1771.0,,,,,0.0,2023-03-27
2023-03-26 10:39:00,1384.0,5,0,11.0,0,1386.0,,,6.0,,0.0,2023-03-26
2023-03-19 14:00:00,5780.0,19,0,59.0,3,5722.0,,,,,0.0,2023-03-19
2023-03-13 09:20:00,1225.0,4,0,,0,1189.0,,,,,-2.0,2023-03-13
2023-08-03 14:46:00,1223.0,9,0,18.0,2,1263.0,,,,,0.0,2023-08-03
2023-07-03 18:16:00,518.0,5,1,2.0,1,520.0,,,,,-2.0,2023-07-03
2023-07-03 18:13:00,537.0,1,0,,0,539.0,,,,,-2.0,2023-07-03
2023-07-03 18:12:00,544.0,0,0,,0,561.0,,,,,-2.0,2023-07-03
2023-07-03 18:12:00,559.0,1,0,2.0,0,589.0,,,,,-2.0,2023-07-03
2023-07-03 18:11:00,607.0,1,1,,0,640.0,,,,,-2.0,2023-07-03
2023-07-03 18:11:00,692.0,1,0,2.0,0,741.0,,1.0,,,-2.0,2023-07-03
2023-07-03 18:11:00,1046.0,1,0,4.0,0,1101.0,,,,,-2.0,2023-07-03
2023-06-03 09:48:00,1193.0,6,0,7.0,0,1196.0,,,,,-2.0,2023-06-03
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14
2023-10-02 11:18:00,928.0,3,0,4.0,0,953.0,,,,,-2.0,2023-10-02
2023-10-02 11:17:00,1345.0,2,0,20.0,0,1357.0,,,,,0.0,2023-10-02
2023-08-02 17:37:00,931.0,4,0,9.0,0,936.0,,,2.0,,-2.0,2023-08-02
2023-08-02 17:34:00,1122.0,2,0,9.0,1,1137.0,,,,,0.0,2023-08-02
2023-04-02 09:59:00,2014.0,3,0,21.0,0,2098.0,,2.0,,,-2.0,2023-04-02
2023-01-30 11:50:00,2.0,3,0,,0,,,,,,0.0,2023-01-30
2023-01-25 14:27:00,,0,0,,0,,,,,,0.0,2023-01-25
2023-01-25 14:21:00,,1,0,,0,,,,,,-2.0,2023-01-25
2023-01-25 14:21:00,,4,0,,0,,,,,,-2.0,2023-01-25
2023-01-22 17:37:00,,7,0,,0,,,,,,0.0,2023-01-22
2023-01-20 10:23:00,,1,0,,0,,,,,,0.0,2023-01-20
2023-01-18 08:30:00,,5,0,,0,,,,,,-2.0,2023-01-18
2023-01-16 17:20:00,,7,0,,0,,,,,,0.0,2023-01-16
2023-12-01 13:49:00,,3,0,,0,,,,,,0.0,2023-12-01
2023-11-01 07:02:00,,6,0,,0,,,,,,0.0,2023-11-01
2023-09-01 17:25:00,268.0,7,0,1.0,0,,,,,,-2.0,2023-09-01
2023-08-01 13:04:00,,5,0,,0,,,,,,0.0,2023-08-01
2023-08-01 08:58:00,,4,0,,0,,,,,,0.0,2023-08-01
2023-07-01 09:41:00,,2,0,,0,,,,,,-2.0,2023-07-01
2023-06-01 19:14:00,,2,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,1,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,1,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,1,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,1,0,,0,,,,,,-2.0,2023-06-01
2023-01-01 16:17:00,,4,0,,0,,,,,,-2.0,2023-01-01
2023-01-01 15:32:00,,3,0,,0,,,,,,0.0,2023-01-01
2023-06-01 19:11:00,,2,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,2,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 19:11:00,,4,0,,0,,,,,,-2.0,2023-06-01
2023-06-01 12:38:00,,6,0,,0,,,,,,-2.0,2023-06-01
2023-03-01 18:36:00,,7,0,,0,,,,,,0.0,2023-03-01
2023-01-01 18:34:00,,5,0,,0,,,,,,0.0,2023-01-01
2024-05-08 10:58:00,278.0,5,0,3.0,0,326.0,,,,286.0,0.0,2024-05-08
2024-05-08 10:59:00,180.0,4,0,1.0,0,203.0,,,,185.0,0.0,2024-05-08
2024-05-08 21:48:00,257.0,2,0,2.0,0,292.0,,,,263.0,-2.0,2024-05-08
2024-08-08 08:58:00,343.0,5,0,1.0,0,432.0,,,,351.0,0.0,2024-08-08
2024-08-08 09:01:00,200.0,5,0,2.0,1,251.0,,,,201.0,0.0,2024-08-08
2024-08-08 20:04:00,658.0,6,0,3.0,1,687.0,,,2.0,698.0,0.0,2024-08-08
2024-09-08 13:55:00,526.0,6,0,3.0,1,640.0,,,,536.0,0.0,2024-09-08
2024-09-08 15:59:00,415.0,10,0,2.0,0,504.0,,,,432.0,0.0,2024-09-08
2024-10-08 09:35:00,810.0,4,0,5.0,0,988.0,,,,848.0,0.0,2024-10-08
2024-10-08 11:44:00,685.0,2,0,8.0,0,799.0,,,,698.0,0.0,2024-10-08
2024-10-08 13:23:00,621.0,4,0,8.0,0,730.0,,,,628.0,0.0,2024-10-08
2024-11-08 09:28:00,377.0,3,0,2.0,0,434.0,,,,381.0,0.0,2024-11-08
2024-11-08 09:28:00,255.0,2,0,1.0,0,311.0,,,,260.0,-2.0,2024-11-08
2024-11-08 13:55:00,450.0,2,0,1.0,1,370.0,,,6.0,478.0,0.0,2024-11-08
2024-08-19 08:20:00,238.0,7,0,3.0,0,254.0,,,,240.0,0.0,2024-08-19
2024-08-21 14:57:00,544.0,0,0,8.0,0,567.0,,,,576.0,0.0,2024-08-21
2024-08-24 17:44:00,21867.0,33,0,445.0,1,23058.0,,1.0,,22663.0,0.0,2024-08-24
2024-08-26 12:31:00,1212.0,7,0,7.0,1,1138.0,,,,1260.0,0.0,2024-08-26
2024-08-26 12:33:00,910.0,0,0,7.0,0,923.0,,,,921.0,-2.0,2024-08-26
2024-08-27 16:00:00,3444.0,9,0,22.0,1,3621.0,,,,3553.0,0.0,2024-08-27
2024-08-28 10:54:00,2859.0,8,0,8.0,0,2879.0,,,,2929.0,-2.0,2024-08-28
2024-08-29 14:36:00,1507.0,5,0,6.0,1,1415.0,,,,1551.0,0.0,2024-08-29
2024-08-29 14:38:00,1141.0,3,0,4.0,1,1131.0,,,,1158.0,0.0,2024-08-29
2024-08-30 10:31:00,6845.0,15,0,84.0,1,7186.0,,,,7070.0,0.0,2024-08-30
2024-08-31 11:01:00,7416.0,10,0,54.0,0,7791.0,,1.0,,7568.0,0.0,2024-08-31
2024-01-09 10:39:00,648.0,3,0,5.0,2,624.0,,,,667.0,0.0,2024-01-09
2024-01-09 10:39:00,387.0,4,0,4.0,1,382.0,,,,398.0,0.0,2024-01-09
2024-01-09 10:39:00,326.0,3,0,1.0,0,309.0,,,,330.0,0.0,2024-01-09
2024-01-09 10:39:00,299.0,1,0,1.0,0,290.0,,,,305.0,0.0,2024-01-09
2024-01-09 13:19:00,445.0,2,0,1.0,0,459.0,,,,460.0,0.0,2024-01-09
2024-02-09 08:43:00,631.0,4,0,3.0,1,606.0,,,,644.0,0.0,2024-02-09
2024-02-09 08:47:00,435.0,4,0,3.0,0,435.0,,,2.0,444.0,0.0,2024-02-09
