hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-19 08:50:00,492.0,1,0,2.0,0,462.0,,,,,-2.0,2023-07-19,IMG_20230719_095046_340.JPG,web_site,#d0d0da,fear
2023-07-17 19:08:00,719.0,2,0,6.0,0,750.0,,,,,0.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral
2023-07-17 08:06:00,917.0,2,0,12.0,1,941.0,,,,,-2.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral
2023-07-14 16:40:00,830.0,4,0,7.0,0,855.0,,,,,0.0,2023-07-14,img_20230714_174025_731.JPG,envelope,#9b5b75,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-27 08:28:00,1700.0,3,0,19.0,0,1771.0,,,,,0.0,2023-03-27,IMG_20230327_092942_876.jpg,bonnet,#787a7f,fear
2023-03-26 10:39:00,1384.0,5,0,11.0,0,1386.0,,,6.0,,0.0,2023-03-26,IMG_20230326_113944_601.jpg,web_site,#626065,happy
2023-03-19 14:00:00,5780.0,19,0,59.0,3,5722.0,,,,,0.0,2023-03-19,IMG_20230319_150117_392.jpg,wooden_spoon,#9c9396,sad
2023-03-13 09:20:00,1225.0,4,0,,0,1189.0,,,,,-2.0,2023-03-13,IMG_20230313_102215_888.jpg,envelope,#a89b75,happy
2023-08-03 14:46:00,1223.0,9,0,18.0,2,1263.0,,,,,0.0,2023-08-03,IMG_20230803_143127_552.JPG,web_site,#753966,happy
2023-06-03 09:48:00,1193.0,6,0,7.0,0,1196.0,,,,,-2.0,2023-06-03,img_20230603_141547_588.JPG,web_site,#a19da5,neutral
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
