hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoría
2023-08-14 11:35:00,1782.0,1,0,10.0,2,1779.0,,,,,-2.0,2023-08-14,img_20230814_123530_258.JPG,web_site,#b7b8b9,neutral,"Otro, Sticker"
2023-12-08 20:43:00,744.0,3,0,5.0,0,749.0,,,,,0.0,2023-12-08,img_20231208_094046_142.JPG,web_site,#c9b0a9,fear,Comida y Bebida
2023-12-08 20:43:00,744.0,3,0,5.0,0,749.0,,,,,0.0,2023-12-08,img_20231208_095334_773.JPG,person,#ab8c93,neutral,"Cuerpo Completo, Sticker"
2023-08-08 18:48:00,529.0,6,0,2.0,0,495.0,3.0,,,,-2.0,2023-08-08,IMG_20230808_194851_186.JPG,promo,#6d2f5e,happy,"Selfie, Ofrecimiento, Enlace"
2023-03-08 13:31:00,711.0,3,0,19.0,0,736.0,,,,,-2.0,2023-03-08,IMG_20230308_164700_665.jpg,background_color,#a98ba9,neutral,"Con otras personas, Reposteo"
2023-07-27 19:47:00,721.0,1,0,2.0,0,722.0,,,,,-2.0,2023-07-27,IMG_20230727_204800_793.JPG,web_site,#cecdcf,surprise,"Sticker, Reposteo"
2023-07-22 07:19:00,555.0,3,0,7.0,0,577.0,,,,,-2.0,2023-07-22,IMG_20230722_082353_222.JPG,book,#6e6976,sad,Otro
2023-07-22 07:19:00,555.0,3,0,7.0,0,577.0,,,,,-2.0,2023-07-22,IMG_20230722_091940_212.JPG,library,#706576,happy,"Selfie, Sticker"
2023-07-22 06:23:00,611.0,2,0,,0,608.0,,,,,0.0,2023-07-22,IMG_20230722_082353_222.JPG,book,#6e6976,sad,Otro
2023-07-22 06:23:00,611.0,2,0,,0,608.0,,,,,0.0,2023-07-22,IMG_20230722_091940_212.JPG,library,#706576,happy,"Selfie, Sticker"
2023-07-21 17:40:00,406.0,1,0,3.0,0,398.0,,,,,0.0,2023-07-21,IMG_20230721_193331_027.JPG,airplane,#5f606e,happy,"Selfie, Sticker"
2023-07-21 17:40:00,406.0,1,0,3.0,0,398.0,,,,,0.0,2023-07-21,IMG_20230721_194103_803.JPG,coffee,#787a87,sad,"Selfie, Comida y Bebida"
2023-07-21 17:33:00,724.0,2,0,6.0,0,733.0,,1.0,,,0.0,2023-07-21,IMG_20230721_193331_027.JPG,airplane,#5f606e,happy,"Selfie, Sticker"
2023-07-21 17:33:00,724.0,2,0,6.0,0,733.0,,1.0,,,0.0,2023-07-21,IMG_20230721_194103_803.JPG,coffee,#787a87,sad,"Selfie, Comida y Bebida"
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy,Ofrecimiento
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,neutral,Ofrecimiento
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,neutral,Ofrecimiento
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,neutral,"Ofrecimiento, Enlace"
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy,Ofrecimiento
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,neutral,Ofrecimiento
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,neutral,Ofrecimiento
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,neutral,"Ofrecimiento, Enlace"
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy,Ofrecimiento
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,neutral,Ofrecimiento
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,neutral,Ofrecimiento
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,neutral,"Ofrecimiento, Enlace"
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy,Ofrecimiento
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,neutral,Ofrecimiento
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,neutral,Ofrecimiento
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,neutral,"Ofrecimiento, Enlace"
2023-07-19 08:50:00,492.0,1,0,2.0,0,462.0,,,,,-2.0,2023-07-19,IMG_20230719_095046_340.JPG,web_site,#d0d0da,neutral,Reposteo
2023-07-17 19:08:00,719.0,2,0,6.0,0,750.0,,,,,0.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral,Reposteo
2023-07-17 08:06:00,917.0,2,0,12.0,1,941.0,,,,,-2.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral,Reposteo
2023-07-14 16:40:00,830.0,4,0,7.0,0,855.0,,,,,0.0,2023-07-14,img_20230714_174025_731.JPG,background_color,#9b5b75,happy,"Sticker, Otro"
2024-01-04 10:44:00,293.0,2,0,2.0,0,295.0,,,,,-2.0,2024-01-04,IMG_20240104_151311_107.jpg,quote,#b07b41,happy,Otro
2024-01-04 10:44:00,420.0,0,0,15.0,0,423.0,,,,,-2.0,2024-01-04,IMG_20240104_151311_107.jpg,quote,#b07b41,happy,Otro
2024-05-28 12:31:00,980.0,3,0,14.0,3,1129.0,,,,,-2.0,2024-05-28,IMG_20240528_133155_716.jpg,person,#5ba9dd,happy,"Sticker, Reposteo"
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,102.0,0,0,1.0,1,112.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,109.0,0,0,,0,113.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,116.0,0,0,,0,119.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,119.0,1,0,,0,126.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,133.0,1,0,1.0,0,136.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
2024-05-22 11:11:00,151.0,1,0,2.0,0,155.0,,,,,-2.0,2024-05-22,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
2024-05-13 11:27:00,205.0,0,0,1.0,0,211.0,,,,,-2.0,2024-05-13,IMG_20240513_122742_155.jpg,person,#604360,neutral,"Sticker, Selfie"
2024-05-13 11:27:00,205.0,0,0,1.0,0,211.0,,,,,-2.0,2024-05-13,IMG_20240513_122744_822.jpg,person,#714a66,happy,"Sticker, Selfie"
2024-05-13 11:27:00,312.0,0,0,2.0,1,326.0,,,,,-2.0,2024-05-13,IMG_20240513_122742_155.jpg,person,#604360,neutral,"Sticker, Selfie"
2024-05-13 11:27:00,312.0,0,0,2.0,1,326.0,,,,,-2.0,2024-05-13,IMG_20240513_122744_822.jpg,person,#714a66,happy,"Sticker, Selfie"
2024-10-05 19:37:00,222.0,3,0,1.0,0,221.0,,,,,-2.0,2024-10-05,IMG_20241005_092140_366.jpg,journal,#705f75,neutral,Selfie
