nombre_archivo,fecha,objeto_principal,color_dominante,emocion_primaria
IMG_20230214_212218_155.jpg,2023-02-14,envelope,#6e61ad,happy
IMG_20230214_204359_214.jpg,2023-02-14,lipstick,#929bad,happy
IMG_20230210_131835_344.jpg,2023-02-10,web_site,#779aac,happy
IMG_20230210_131753_231.jpg,2023-02-10,web_site,#c7c0d3,sad
IMG_20230208_194355_266.jpg,2023-02-08,web_site,#63688b,happy
IMG_20230208_193458_035.jpg,2023-02-08,eggnog,#757491,sad
IMG_20230204_115956_923.jpg,2023-02-04,hard_disc,#909696,happy
IMG_20230129_194514_136.jpg,2023-01-29,web_site,#57514a,happy
IMG_20230125_162752_863.jpg,2023-01-25,web_site,#404351,happy
IMG_20230125_162719_529.jpg,2023-01-25,web_site,#dac3ce,sad
IMG_20230125_162138_882.jpg,2023-01-25,web_site,#718387,happy
IMG_20230125_162125_666.jpg,2023-01-25,web_site,#4d5971,happy
IMG_20230122_193730_320.jpg,2023-01-22,seat_belt,#6a6686,happy
IMG_20230120_122337_300.jpg,2023-01-20,web_site,#5d575f,happy
IMG_20230118_103100_626.jpg,2023-01-18,teapot,#98a2a8,neutral
IMG_20230116_192025_454.jpg,2023-01-16,stole,#57515f,sad
IMG_20230112_154949_486.jpg,2023-01-12,web_site,#6c79bd,happy
IMG_20230111_090246_054.jpg,2023-01-11,espresso,#b4bbce,sad
IMG_20230108_150427_607.jpg,2023-01-08,ski_mask,#4b3e41,neutral
IMG_20230108_105914_439.jpg,2023-01-08,potpie,#909ca7,happy
IMG_20230107_114144_017.jpg,2023-01-07,potpie,#95a2ad,happy
IMG_20230106_211449_997.jpg,2023-01-06,tray,#4d4a76,happy
IMG_20230106_211416_808.jpg,2023-01-06,cleaver,#516da4,sad
IMG_20230106_211406_092.jpg,2023-01-06,cassette,#6d6e76,sad
IMG_20230106_211355_310.jpg,2023-01-06,mask,#98a7aa,happy
IMG_20230106_211343_940.jpg,2023-01-06,magnetic_compass,#464855,angry
IMG_20230106_211333_090.jpg,2023-01-06,golfcart,#666b7c,happy
IMG_20230106_211322_851.jpg,2023-01-06,cowboy_hat,#5c6374,happy
IMG_20230106_211205_437.jpg,2023-01-06,mailbox,#55787a,fear
IMG_20230106_211153_582.jpg,2023-01-06,ice_lolly,#52646a,fear
IMG_20230106_143840_679.jpg,2023-01-06,packet,#5c5d6b,happy
IMG_20230103_203624_503.jpg,2023-01-03,plate,#5c697b,angry
IMG_20230101_203517_057.jpg,2023-01-01,safety_pin,#425c81,happy
IMG_20230101_181738_189.jpg,2023-01-01,pizza,#5c5f61,happy
IMG_20230101_173236_089.jpg,2023-01-01,red_wine,#747382,fear
IMG_20230429_004509_286.JPG,2023-04-29,web_site,#f7f8f8,neutral
img_20230501_122655_980.JPG,2023-05-01,web_site,#a7a7b2,happy
img_20230503_061407_982.JPG,2023-05-03,patio,#666a72,happy
img_20230503_091511_037.JPG,2023-05-03,iPod,#5e6667,fear
img_20230504_155609_956.JPG,2023-05-04,golfcart,#7e7b82,neutral
IMG_20230505_094107_425.JPG,2023-05-05,turnstile,#737c8c,surprise
img_20230507_094152_08.JPG,2023-05-07,web_site,#52565f,happy
IMG_20230509_072408_769.JPG,2023-05-09,web_site,#616164,angry
img_20230509_132611_559.JPG,2023-05-09,web_site,#579995,happy
img_20230509_202035_751.JPG,2023-05-09,web_site,#708b9c,neutral
img_20230510_105830_075.JPG,2023-05-10,seat_belt,#8a8496,happy
img_20230515_122925_105.JPG,2023-05-15,doormat,#767a92,fear
img_20230522_154957_674.JPG,2023-05-22,web_site,#ae8a9a,happy
img_20230522_15123_340.JPG,2023-05-22,web_site,#a96d86,sad
img_20230522_155215_156.JPG,2023-05-22,web_site,#f08f71,surprise
img_20230522_155216_818.JPG,2023-05-22,envelope,#e9b3a5,sad
img_20230522_155219_090.JPG,2023-05-22,envelope,#bcb4cc,neutral
img_20230522_155225_104.JPG,2023-05-22,envelope,#e8b9af,neutral
img_20230524_070847_481.JPG,2023-05-24,web_site,#cdcdcd,angry
img_20230525_104901_188.JPG,2023-05-25,envelope,#b59f9b,happy
