"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos,"Clics en el enlace"
17946299786690785,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias a quiénes asistieron a la charla. Pronto daré detalles sobre la próxima!",7,"09/15/2023 12:06",https://instagram.com/stories/jessonirica/3192576388066488519,"Historia de Instagram",,Total,193,1,0,,0,157,,,
17884942343926388,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias a quiénes asistieron a la charla. Pronto daré detalles sobre la próxima!",7,"09/15/2023 12:06",https://instagram.com/stories/jessonirica/3192576325898656251,"Historia de Instagram",,Total,306,1,0,3,0,263,,,
18276407002197909,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mis conversaciones favoritas",0,"09/13/2023 08:17",,"Historia de Instagram",,Total,495,3,0,4,0,489,,,
18076047331403956,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/12/2023 13:59",,"Historia de Instagram",,Total,517,2,0,2,0,521,,,
18020639896671369,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"09/11/2023 12:54",,"Historia de Instagram",,Total,255,3,0,4,0,252,,1,
17949804056570500,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"09/11/2023 09:37",,"Historia de Instagram",,Total,341,2,0,6,0,307,,,
17862903791964938,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/10/2023 20:00",,"Historia de Instagram",,Total,471,2,0,1,0,468,,,
18017298175783183,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Sueños
Despiertos",0,"09/10/2023 16:47",,"Historia de Instagram",,Total,531,2,0,2,1,534,,,
18003303344057521,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lista para
 regalar sueños",0,"09/10/2023 11:42",,"Historia de Instagram",,Total,583,2,0,2,0,595,,,
18094254910359915,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy voy a estar regalando sueños",3,"09/10/2023 09:48",,"Historia de Instagram",,Total,795,3,0,4,0,718,,,
18001172585015864,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/07/2023 17:43",,"Historia de Instagram",,Total,551,2,0,4,0,567,,,
17872007282920564,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,33,"09/06/2023 13:22",,"Historia de Instagram",,Total,457,5,0,4,0,501,,,7
17993127290187313,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"09/03/2023 09:41",,"Historia de Instagram",,Total,145,0,0,,0,147,,,
17895209828860108,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/03/2023 09:41",,"Historia de Instagram",,Total,152,0,0,1,0,147,,,
