"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Respuestas,Alcance,"Visitas al perfil",Navegación,Seguimientos,"Clics en el enlace","Toques en stickers"
Semana",7,"02/06/2023 09:09",,"Historia de Instagram",,Total,10,0,0,1782,9,1471,1,,
17859097052852973,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/04/2023 09:59",,"Historia de Instagram",,Total,3,0,0,2014,21,2098,2,,
18350012749024161,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"02/02/2023 11:43",,"Historia de Instagram",,Total,0,0,0,573,4,572,,8,
18335376778062640,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"02/02/2023 11:41",,"Historia de Instagram",,Total,8,0,0,895,9,918,,,
18265776082143311,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"01/31/2023 10:06",,"Historia de Instagram",,Total,4,0,3,1216,15,987,,,
18002069929590304,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya tengo un curso!",10,"01/30/2023 15:36",,"Historia de Instagram",,Total,3,0,0,5,,2,,,
18011232577535949,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Quieres saber cómo?",0,"01/30/2023 11:50",,"Historia de Instagram",,Total,3,0,0,2,,,,,
17984538319872285,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,19,"01/30/2023 11:48",,"Historia de Instagram",,Total,4,0,0,4,,,,,
18043897255406699,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,"01/29/2023 14:39",,"Historia de Instagram",,Total,6,0,0,,,,,,
17995195150648556,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,25,"01/28/2023 10:01",,"Historia de Instagram",,Total,1,0,0,,,,,,
17943391286391058,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,14,"01/28/2023 10:00",,"Historia de Instagram",,Total,3,0,0,,,,,,
17959414139509766,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"01/28/2023 10:00",,"Historia de Instagram",,Total,1,0,0,,,,,,
17986372165840125,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,"01/28/2023 09:58",,"Historia de Instagram",,Total,3,0,0,,,,,,
18032867170435905,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"01/27/2023 14:58",,"Historia de Instagram",,Total,19,0,0,,,,,,
17973423701049589,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Nuestros sueños permanecen con nosotros. Nos ayudan a abrir el corazón en el momento de mayor miedo.",0,"01/25/2023 14:27",,"Historia de Instagram",,Total,0,0,0,,,,,,
17972346629042752,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/25/2023 14:21",,"Historia de Instagram",,Total,1,0,0,,,,,,
17967993800133558,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/25/2023 14:21",,"Historia de Instagram",,Total,4,0,0,,,,,,
18358338034050473,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cocreando sueños para @ekrmexico",9,"01/25/2023 13:50",,"Historia de Instagram",,Total,3,0,0,,,,,,
17888394140774728,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,24,"01/25/2023 11:39",https://instagram.com/stories/jessonirica/3023720746056576488,"Historia de Instagram",,Total,11,0,0,356,1,,,,
17943928370379702,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"01/23/2023 19:57",,"Historia de Instagram",,Total,5,0,0,,,,,,
18039287659381960,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,12,"01/23/2023 19:50",,"Historia de Instagram",,Total,8,0,0,,,,,,
17917458473669454,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lloré en Starlight
Porque me acordé de mi amiga Ana Kin, con quién siempre iba a ver a Muse y falleció en el 2019",8,"01/22/2023 23:19",,"Historia de Instagram",,Total,9,0,0,,,,,,
17916236393670110,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Just in a DREAM
Come on and rescue me  Sólo en un SUEÑO
Ven y rescátame",8,"01/22/2023 23:14",,"Historia de Instagram",,Total,9,0,0,,,,,,
17918121578593030,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,"01/22/2023 23:08",,"Historia de Instagram",,Total,8,0,0,,,,,,
18059875228340678,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya casi empieza!",0,"01/22/2023 17:37",,"Historia de Instagram",,Total,7,0,0,,,,,,
17974409050893956,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"01/22/2023 12:37",,"Historia de Instagram",,Total,12,0,0,,,,,,
17898472835739172,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Comienza mi viaje para ver a @muse mañana!",7,"01/21/2023 14:48",,"Historia de Instagram",,Total,7,0,0,,,,,,
18045060568397759,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Puedes escribir una intención que tengas y meditar sobre ella.",3,"01/21/2023 10:00",,"Historia de Instagram",,Total,3,0,0,,,,,,
