"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,"Toques en stickers",Navegación,Seguimientos
18034270208097835,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen
inicio de
semana!",0,"11/18/2024 09:25",,"Historia de Instagram",,Total,3548,3450,3,0,38,0,,3594,
17947306166858737,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen inicio 
de semana!",0,"11/11/2024 10:57",,"Historia de Instagram",,Total,5486,5384,11,0,49,1,,5510,2
18466927309046810,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Festejando a
la bendi! 😺",4,"11/08/2024 16:00",,"Historia de Instagram",,Total,2320,2193,8,0,10,1,,2005,
18437578432068759,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Puedes poner
atención a
tus sueños!",0,"11/07/2024 09:51",,"Historia de Instagram",,Total,165,160,0,0,,0,,150,
18262427884252572,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,27,"11/07/2024 09:47",,"Historia de Instagram",,Total,186,185,3,0,,0,,173,
17927398058857900,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Una hada
madrina me
trajo un regalo
de Brasil
¡Gracias!",0,"11/07/2024 09:46",,"Historia de Instagram",,Total,329,314,1,0,1,0,,301,
17846021820326120,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya estamos 
a mitad de
semana!",0,"11/06/2024 05:57",,"Historia de Instagram",,Total,4811,4597,7,0,18,0,,4758,
18072687724546137,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buen inicio 
de semana",0,"11/04/2024 16:27",,"Historia de Instagram",,Total,3674,3543,4,0,36,0,,3677,
17850722472326874,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Día de
disfrutar de
nuestras 
tradiciones",0,"11/02/2024 12:44",,"Historia de Instagram",,Total,12336,11807,14,0,61,2,,12136,
17909068917043831,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Mi época del año favorita!",3,"10/31/2024 14:54",,"Historia de Instagram",,Total,1674,1604,4,0,7,0,,1421,
17988814685587971,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buen 
finde!",0,"10/26/2024 15:37",,"Historia de Instagram",,Total,8406,8236,13,0,35,2,,8511,
18009874274462970,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"10/24/2024 16:56",,"Historia de Instagram",,Total,170,165,1,0,1,0,,168,
18341338525127784,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/24/2024 16:55",,"Historia de Instagram",,Total,183,181,0,0,,0,,175,
17853005409265797,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/24/2024 16:55",,"Historia de Instagram",,Total,290,284,3,0,,0,2,281,
18469262665019419,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡He tenido un par de semanas muy ocupadas, por fin pude tomarme un tiempo para saludarte!",0,"10/23/2024 09:14",,"Historia de Instagram",,Total,5383,5244,9,0,47,1,,5220,
17893072272017102,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Mañana voy
A hacer un live!",5,"10/21/2024 17:49",,"Historia de Instagram",,Total,493,475,3,0,1,0,,464,
17936336714920996,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz 
viernes!",0,"10/18/2024 07:47",,"Historia de Instagram",,Total,4365,4127,7,0,26,2,,4397,
17936420636923934,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya es 
mitad de
semana!",0,"10/16/2024 14:21",,"Historia de Instagram",,Total,3119,2959,4,0,32,0,,3139,
18072412228604454,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz inicio
de semana! Que tus
sueños te
acompañen 🙌",0,"10/14/2024 10:55",,"Historia de Instagram",,Total,6545,6414,14,0,39,0,,6475,
18055208368856161,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Disfrutando
el sábado 😋",0,"10/12/2024 16:42",,"Historia de Instagram",,Total,11324,10792,10,0,77,1,,11414,
18058075525744993,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen
Finde!",0,"10/11/2024 13:24",,"Historia de Instagram",,Total,6518,6287,8,0,38,0,,6589,
18031144793253352,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buen inicio 
de semana",0,"10/07/2024 09:35",,"Historia de Instagram",,Total,2143,2089,3,0,17,0,,2180,
18032139281065902,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Comencé el día registrando mis sueños y preparándome para explorarlos con el equipo de doulas que estamos capacitando para @ekrmexico  y @espaciofim",0,"10/05/2024 08:21",,"Historia de Instagram",,Total,4487,4362,3,0,44,0,,4251,
17981487989738151,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy me tocó guiar una meditación para conectar con nuestros ancestros en el entrenamiento presencial para @ekrmexico  y @espaciofim",0,"10/03/2024 17:11",,"Historia de Instagram",,Total,3168,3076,11,0,10,2,,3114,
