"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Seguimientos,"Toques en stickers","Clics en el enlace"
18045048919406781,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Último día de trabajar con esta vista",0,"05/09/2023 06:23",,"Historia de Instagram",,Total,779,1,0,6,0,753,,,
18259111507150093,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Y de descansos en la hamaca",12,"05/09/2023 07:05",,"Historia de Instagram",,Total,520,3,0,10,0,554,,,
18348118144065799,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,"05/09/2023 11:37",,"Historia de Instagram",,Total,446,0,0,2,0,454,,,
18356351710058768,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En San Miguel de Allende",0,"05/09/2023 12:25",,"Historia de Instagram",,Total,375,1,0,1,0,379,,,
17981847536140547,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Despidiéndome,5,"05/09/2023 18:51",,"Historia de Instagram",,Total,457,1,0,3,0,426,,,
17957312969373800,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Me siento muy contenta de formar parte del equipo @ekrmexico",0,"05/09/2023 20:20",,"Historia de Instagram",,Total,420,2,0,,0,396,,3,
18047247916430565,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Me regalaron un chocolate en el aeropuerto por el día de las madres",0,"05/10/2023 09:58",,"Historia de Instagram",,Total,523,6,0,2,0,502,,,
17913402767742589,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lo que me puso el Spotify cuando empezaron las turbulencias en el avión 😓",15,"05/10/2023 16:50",,"Historia de Instagram",,Total,372,2,0,1,0,388,,,
17924880452705546,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Es broma, bueno, 
si quieres no es broma",0,"05/15/2023 11:29",,"Historia de Instagram",,Total,2135,3,0,14,0,2082,,,
17984093735314473,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estuve perdido y me encontré dentro de un sueño (sueños húmedos)",7,"05/20/2023 10:02",,"Historia de Instagram",,Total,471,1,0,6,0,523,,,
