hora_de_publicacion,descripcion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoria
30/01/2024 17:09,,1601,7,0,10,0,1669,,,,,-2,30/01/2024,IMG_20240130_190930_660.jpg,quote,#f6b7c0,happy,"Sticker, Reposteo"
02/02/2024 08:53,,726,2,0,7,0,736,,,,,-2,02/02/2024,IMG_20240202_105325_912.jpg,tamal,#8b90ad,neutral,"Sticker, Comida y Bebida"
07/02/2024 09:08,,1217,3,0,9,2,1177,,,,,-2,07/02/2024,IMG_20240207_110906_769.jpg,person,#a37a8a,happy,"Sticker, Selfie"
10/02/2024 14:29,,356,3,0,1,0,354,6,,,,-2,10/02/2024,IMG_20240210_163012_710.jpg,moon,#411e27,neutral,"Enlace, Ofrecimiento"
10/02/2024 14:29,,576,4,0,5,0,588,,,,,-2,10/02/2024,IMG_20240210_163013_969.jpg,moon,#573b43,happy,"Selfie, Sticker"
12/02/2024 10:12,,518,1,0,,0,473,,,,,-2,12/02/2024,IMG_20240212_121257_181.jpg,book,#703d6c,surprise,"Sticker, Otro"
12/02/2024 10:12,,342,1,0,1,0,349,,,,,-2,12/02/2024,IMG_20240212_121300_506.jpg,quote,#846475,happy,"Sticker, Selfie"
12/02/2024 10:12,,299,0,0,,0,305,,,,,-2,12/02/2024,IMG_20240212_121301_845.jpg,background_color,#793056,happy,Sticker
13/02/2024 16:32,,1331,5,0,9,0,1377,,,,,-2,13/02/2024,IMG_20240213_183250_806.jpg,person,#ac979e,happy,"Sticker, Selfie, Ofrecimiento"
16/02/2024 13:26,,5336,5,0,33,0,5275,,,,,-2,16/02/2024,IMG_20240216_152701_550.jpg,people,#b69ba2,happy,"Reposteo, Con otras personas"
19/02/2024 09:11,,481,5,0,9,0,496,,,,,-2,19/02/2024,IMG_20240219_111146_466.jpg,coffee,#737888,neutral,Comida y Bebida
19/02/2024 10:50,,249,3,0,1,0,255,,,,,-2,19/02/2024,IMG_20240219_125056_353.jpg,stole,#7f5a70,happy,"Selfie, Otro"
19/02/2024 10:50,,210,3,0,,0,224,,,,,-2,19/02/2024,IMG_20240219_125058_731.jpg,book,#8d4e73,happy,Otro
19/02/2024 10:50,,185,1,0,,0,200,,,,,-2,19/02/2024,IMG_20240219_125100_027.jpg,background_color,#793056,happy,Sticker
20/02/2024 12:56,,189,3,0,2,0,201,9,,,,-2,20/02/2024,IMG_20240220_145703_283.jpg,person,#7d655b,happy,"Sticker, Selfie"
20/02/2024 12:56,,204,0,0,1,0,198,,,,,-2,20/02/2024,IMG_20240220_145706_258.jpg,promo,#5d203e,neutral,"Selfie, Ofrecimiento, Enlace"
20/02/2024 12:56,,232,0,0,1,0,232,,,,,-2,20/02/2024,IMG_20240220_145706_307.jpg,background_Color,#974e73,happy,Sticker
21/02/2024 17:34,,302,0,0,3,0,305,,,,,-2,21/02/2024,IMG_20240221_193428_114.jpg,person,#907774,happy,"Sticker, Selfie"
21/02/2024 17:34,,190,0,0,1,0,200,,,,,-2,21/02/2024,IMG_20240221_193431_128.jpg,background_color,#853860,sad,Sticker
23/02/2024 05:57,,302,0,0,2,0,311,,,,,-2,23/02/2024,IMG_20240223_075815_658.jpg,gown,#9d9795,happy,Otro
23/02/2024 05:57,,187,1,0,,0,197,,,,,-2,23/02/2024,IMG_20240223_075816_795.jpg,person,#77505e,happy,Selfie
23/02/2024 05:57,,165,0,0,1,0,178,,,,,-2,23/02/2024,IMG_20240223_075817_564.jpg,abaya,#9da0a2,sad,Otro
23/02/2024 05:57,,154,0,0,,0,165,,,,,-2,23/02/2024,IMG_20240223_075818_734.jpg,feather_boa,#323c6b,happy,Otro
23/02/2024 05:57,,148,0,0,,0,156,,,,,-2,23/02/2024,IMG_20240223_075821_075.jpg,background_color,#742850,happy,Sticker
04/03/2024 08:18,,366,0,0,2,1,337,,,,,-2,04/03/2024,IMG_20240304_101907_511.jpg,person,#704d61,happy,"Selfie, Sticker"
04/03/2024 08:18,,261,1,0,1,0,263,,,,,-2,04/03/2024,IMG_20240304_101907_513.jpg,book,#704c79,surprise,"Sticker, Otro"
04/03/2024 08:18,,217,0,0,2,0,229,,,,,-2,04/03/2024,IMG_20240304_101907_606.jpg,background_color,#7a2650,happy,Sticker
05/03/2024 17:33,,184,1,0,,0,182,,,,,-2,05/03/2024,IMG_20240305_193343_615.jpg,web_site,#a34472,happy,Ofrecimiento
05/03/2024 17:33,,159,0,0,,0,163,,,,,-2,05/03/2024,IMG_20240305_193343_959.jpg,person,#ac859f,happy,"Ofrecimiento, Sticker, Selfie"
05/03/2024 17:33,,294,2,0,3,0,290,,,,,-2,05/03/2024,IMG_20240305_193348_099.jpg,background_Color,#af5c83,happy,Sticker
11/03/2024 16:59,,524,2,0,7,0,502,,,,,-2,11/03/2024,IMG_20240311_175939_070.jpg,promo,#82384a,nuetral,"Enlace, Cuerpo Completo, Ofrecimiento"
11/03/2024 16:59,,371,0,0,2,0,374,1,,,,-2,11/03/2024,IMG_20240311_175941_185.jpg,person,#92697c,happy,"Selfie, Sticker"
16/03/2024 17:40,,466,1,0,,0,471,,,,,-2,16/03/2024,IMG_20240316_184103_346.jpg,person,#8e6779,happy,"Selfie, Sticker"
19/03/2024 07:29,,145,0,0,,0,140,,,,,-2,19/03/2024,IMG_20240319_082940_712.jpg,person,#653c57,neutral,"Selfie, Sticker"
19/03/2024 07:29,,173,1,0,,0,169,,,,,-2,19/03/2024,IMG_20240319_082943_526.jpg,promo,#782f3f,neutral,"Ofrecimiento, Cuerpo Completo"
19/03/2024 07:29,,281,2,0,2,0,280,,,,,-2,19/03/2024,IMG_20240319_082946_013.jpg,person,#804c6b,happy,"Selfie, Sticker"
19/03/2024 07:29,,133,0,0,,0,128,,,,,-2,19/03/2024,IMG_20240319_082946_383.jpg,person,#856c4b,happy,"Sticker, Ofrecimiento, Cuerpo Completo"
21/03/2024 08:19,,215,0,0,2,0,219,,,,,-2,21/03/2024,IMG_20240321_091929_583.jpg,person,#8d586e,happy,Cuerpo Completo
21/03/2024 08:19,,107,0,0,,0,109,,,,,-2,21/03/2024,IMG_20240321_091929_670.jpg,journal,#70566b,sad,Cuerpo Completo
01/04/2024 10:44,,420,0,0,15,0,423,,,,,-2,01/04/2024,IMG_20240401_114430_919.jpg,person,#693856,happy,Selfie
01/04/2024 10:44,,293,2,0,2,0,295,,,,,-2,01/04/2024,IMG_20240401_114431_278.jpg,person,#562a47,happy,Selfie
01/04/2024 10:44,,216,0,0,1,0,207,,,,,-2,01/04/2024,IMG_20240401_114436_157.jpg,person,#856a48,happy,"Ofrecimiento, Cuerpo Completo"
01/04/2024 10:44,,248,1,0,1,0,234,,,,,-2,01/04/2024,IMG_20240401_182702_590.jpg,trifle,#707989,happy,Comida y Bebida
01/04/2024 17:26,,777,7,0,8,1,797,,,,,-2,04/04/2024,IMG_20240404_173737_841.jpg,person,#91818b,happy,"Selfie, Sticker"
05/04/2024 16:28,,405,0,0,2,0,387,,,,,-2,05/04/2024,IMG_20240405_172839_010.jpg,people,#605960,happy,"Con otras personas, Reposteo"
05/04/2024 16:29,,245,0,0,1,0,243,,,,,-2,05/04/2024,IMG_20240405_172930_524.jpg,promo,#ded7cb,sad,"Reposteo, Ofrecimiento"
10/04/2024 20:00,,179,0,0,2,0,179,,,2,,-2,10/04/2024,IMG_20240410_210243_566.jpg,coffee_shop,#68708e,happy,Selfie
19/04/2024 07:49,,1921,5,0,23,0,1935,,,,,-2,19/04/2024,IMG_20240419_084956_981.jpg,fruit,#777eac,neutral,Comida y Bebida
19/04/2024 12:54,,702,1,0,1,0,696,,,,,-2,19/04/2024,IMG_20240419_135448_157.jpg,people,#5d79b4,sad,"Con otras personas, Reposteo"
24/04/2024 14:48,,439,2,0,4,0,434,,,4,,-2,24/04/2024,IMG_20240424_140855_977.jpg,pizza,#72718b,happy,"Selfie, Comida y Bebida"
24/04/2024 14:50,,321,3,0,,0,327,,,,,-2,24/04/2024,IMG_20240424_155033_295.jpg,people,#6f697c,happy,Con otras personas
25/04/2024 08:42,,251,0,0,3,0,258,,,,,-2,25/04/2024,IMG_20240425_094228_479.jpg,people,#7e77bc,happy,"Con otras personas, Reposteo"
25/04/2024 11:37,,196,7,0,1,0,193,,,,,-2,25/04/2024,IMG_20240425_123732_797.jpg,bucket,#7d8290,happy,Comida y Bebida
25/04/2024 14:21,,143,3,0,2,0,147,,,,,-2,25/04/2024,IMG_20240425_152208_168.jpg,logo,#cd6378,happy,Cuerpo Completo
25/04/2024 14:21,,180,2,0,,0,170,,,,,-2,25/04/2024,IMG_20240425_152209_075.jpg,person,#626994,neutral,Selfie
