Identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Alcance,Me gusta,Veces que se compartió,Visitas al perfil,Respuestas,Navegación,Clics en el enlace,Seguimientos,Toques en stickers,Visualizaciones,sentimiento,hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoría
1.7905883465816006e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Que tengas
buen fin de semana!",0.0,12/22/2023 16:27,<NA>,Historia de Instagram,nan,Total,1133.0,5.0,0.0,3.0,0.0,1127.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8027994789840896e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,10.0,12/20/2023 15:54,<NA>,Historia de Instagram,nan,Total,630.0,3.0,0.0,nan,1.0,618.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8059651443450884e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Buen provecho!,0.0,12/20/2023 15:51,<NA>,Historia de Instagram,nan,Total,847.0,4.0,0.0,3.0,0.0,849.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.791039614079369e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Las sombras
también bailan",4.0,12/19/2023 14:14,<NA>,Historia de Instagram,nan,Total,12620.0,5.0,0.0,40.0,0.0,9377.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.81112878693486e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Buen inicio de semana!,0.0,12/18/2023 15:36,<NA>,Historia de Instagram,nan,Total,861.0,6.0,0.0,6.0,0.0,871.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7948576648725964e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","La noche que el diablo
 perdió la cola",6.0,12/16/2023 15:13,<NA>,Historia de Instagram,nan,Total,2566.0,4.0,0.0,8.0,0.0,2547.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7881397654987114e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Únete a la conversación,3.0,12/15/2023 16:33,<NA>,Historia de Instagram,nan,Total,542.0,2.0,0.0,4.0,0.0,524.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7989320500305672e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,2.0,12/14/2023 19:09,https://instagram.com/stories/jessonirica/3258050081717513274,Historia de Instagram,nan,Total,294.0,1.0,0.0,nan,0.0,222.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7896964270927308e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,37.0,12/14/2023 19:09,https://instagram.com/stories/jessonirica/3258049854109634376,Historia de Instagram,nan,Total,375.0,7.0,0.0,2.0,0.0,297.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7967685766521936e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Ya estoy lista para empezar el conversatorio sobre sueños Premonitorios,0.0,12/14/2023 16:53,<NA>,Historia de Instagram,nan,Total,1168.0,5.0,0.0,15.0,0.0,1160.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
